mode,epoch,train_loss,test_loss,test_acc,lr,epoch_sec,elapsed_sec,trainable_params,total_params
scratch_all,1,0.10667105950415134,0.08684193307999521,25.1953125,0.001,2.1225420710397884,2.122543142992072,5508,5508
scratch_all,2,0.09004190796986222,0.08648374152835459,24.560546875,0.001,1.829831490991637,3.9523979909718037,5508,5508
scratch_all,3,0.08943307003937662,0.0830775243230164,24.9755859375,0.001,1.8273481599753723,5.779764572973363,5508,5508
scratch_all,4,0.08659685752354562,0.08159621400409378,24.755859375,0.001,1.837024383014068,7.61680871702265,5508,5508
scratch_all,5,0.0820451935287565,0.07747914997162297,49.8046875,0.001,1.8146456850226969,9.43147525691893,5508,5508
scratch_all,6,0.0733456986490637,0.07181676552863792,50.1220703125,0.001,1.8083280100254342,11.239824228920043,5508,5508
scratch_all,7,0.07073824270628393,0.07369676296366379,50.0,0.001,1.8516401179367676,13.09148603992071,5508,5508
scratch_all,8,0.0698735024780035,0.07292238238733262,50.68359375,0.001,1.8256515339016914,14.917158889002167,5508,5508
scratch_all,9,0.06994236190803349,0.07033414414036088,49.755859375,0.001,1.8186214690795168,16.735802876995876,5508,5508
scratch_all,10,0.06922565423883498,0.07111986320524011,50.0,0.001,1.8180153470020741,18.553840990993194,5508,5508
scratch_all,11,0.06908797426149249,0.07038272541831248,49.8046875,0.001,1.817729172995314,20.371586146997288,5508,5508
scratch_all,12,0.06899695633910596,0.06953666603658348,50.0,0.001,1.8117554939817637,22.183361875009723,5508,5508
scratch_all,13,0.06822185718920082,0.06807685336389113,50.0,0.001,1.820497366017662,24.003879052004777,5508,5508
scratch_all,14,0.06835384457372129,0.06786059046862647,50.0,0.001,1.8285710780182853,25.832471243920736,5508,5508
scratch_all,15,0.06770142423920333,0.06756428588414565,50.0,0.001,1.847905139089562,27.680398126947694,5508,5508
scratch_all,16,0.06792190170381218,0.0678792131220689,50.0,0.001,1.823716048966162,29.504135985975154,5508,5508
scratch_all,17,0.0685329819098115,0.0701968583452981,50.0,0.001,1.8261123469565064,31.33026868093293,5508,5508
scratch_all,18,0.0670645241625607,0.06648967172077391,50.0,0.001,1.8582098010228947,33.18850155302789,5508,5508
scratch_all,19,0.06608814711216837,0.069514683142188,50.0,0.001,1.8521972460439429,35.040721272001974,5508,5508
scratch_all,20,0.06732177769299597,0.06772162271954585,49.9755859375,0.001,1.8280036239884794,36.868745635962114,5508,5508
scratch_all,21,0.06777629372663796,0.06737142454949208,50.0,0.001,1.8288605050183833,38.697626185952686,5508,5508
scratch_all,22,0.06574271328281611,0.06497905930154957,50.0,0.001,1.8204033779911697,40.51804961496964,5508,5508
scratch_all,23,0.06393661780748516,0.06295030507317279,60.5224609375,0.001,1.82777164503932,42.345842565991916,5508,5508
scratch_all,24,0.0637875396059826,0.062008129723835737,71.97265625,0.001,1.8702924309764057,44.21615692193154,5508,5508
scratch_all,25,0.062731638783589,0.06297465374518652,68.3837890625,0.001,1.839474180014804,46.055652549955994,5508,5508
scratch_all,26,0.058319411939010024,0.057310632706503384,84.3505859375,0.001,1.8158273650333285,47.871501717949286,5508,5508
scratch_all,27,0.04881009121891111,0.04411399975651875,75.0,0.001,1.8339996059658006,49.70552335400134,5508,5508
scratch_all,28,0.04416351631516591,0.04329247446730733,75.0,0.001,1.814731732942164,51.520273785921745,5508,5508
scratch_all,29,0.049541771644726396,0.045376141904853284,75.0,0.001,1.8406339699868113,53.36092830100097,5508,5508
scratch_all,30,0.04700581927318126,0.04272797950397944,75.0,0.001,1.8210389550076798,55.18198640400078,5508,5508
scratch_all,31,0.04242062306730077,0.037156610742385965,75.0,0.001,1.8159947521053255,56.998003276996315,5508,5508
